canonical_id,display_name,fpl_id,understat_id,statsbomb_id,birth_date,confidence,method,verified_at
fpl-player-186,Ephron Mason-Clark,186,,,,1.0,exact,
fpl-player-187,Josh Eccles,187,,,,1.0,exact,
fpl-player-188,Victor Torp,188,,,,1.0,exact,
fpl-player-189,George Shepherd,189,,,,1.0,exact,
fpl-player-190,Loum Tchaouna,190,,,,1.0,exact,
fpl-player-191,Raphael Borges Rodrigues,191,,,,1.0,exact,
fpl-player-192,Kaine Andrews,192,,,,1.0,exact,
fpl-player-193,Haji Wright,193,,,,1.0,exact,
fpl-player-194,Brandon Thomas-Asante,194,,,,1.0,exact,
fpl-player-195,Ellis Simms,195,,,,1.0,exact,
fpl-player-196,Jahnoah Markelo,196,,,,1.0,exact,
fpl-player-197,Norman Bassette,197,,,,1.0,exact,
fpl-player-492,Taiwo Awoniyi,492,,,,1.0,exact,
fpl-player-575,Caleb Yirenkyi,575,,,,1.0,exact,
fpl-player-584,Gustavo Hamer,584,,,,1.0,exact,
fpl-player-599,Sidiki Cherif,599,,,,1.0,exact,
fpl-player-42,Evann Guessand,42,,,,1.0,exact,
fpl-player-198,Dean Henderson,198,,,,1.0,exact,
fpl-player-199,Walter Benítez,199,,,,1.0,exact,
fpl-player-201,Daniel Muñoz Mejía,201,,,,1.0,exact,
fpl-player-202,Chris Richards,202,,,,1.0,exact,
fpl-player-203,Jaydee Canvot,203,,,,1.0,exact,
fpl-player-204,Tyrick Mitchell,204,,,,1.0,exact,
fpl-player-205,Borna Sosa,205,,,,1.0,exact,
fpl-player-206,Chadi Riad Dnanou,206,,,,1.0,exact,
fpl-player-207,Oscar Mingueza,207,,,,1.0,exact,
fpl-player-208,Ismaïla Sarr,208,,,,1.0,exact,
fpl-player-210,Adam Wharton,210,,,,1.0,exact,
fpl-player-211,Yéremy Pino Santos,211,,,,1.0,exact,
fpl-player-212,Will Hughes,212,,,,1.0,exact,
fpl-player-213,Jefferson Lerma Solís,213,,,,1.0,exact,
fpl-player-214,Daichi Kamada,214,,,,1.0,exact,
fpl-player-215,Justin Devenny,215,,,,1.0,exact,
fpl-player-216,Romain Esse,216,,,,1.0,exact,
fpl-player-217,Matheus França de Oliveira,217,,,,1.0,exact,
fpl-player-218,Cheick Doucouré,218,,,,1.0,exact,
fpl-player-219,Jesurun Rak-Sakyi,219,,,,1.0,exact,
fpl-player-220,Rio Cardines,220,,,,1.0,exact,
fpl-player-221,Joél Drakes-Thomas,221,,,,1.0,exact,
fpl-player-222,Jørgen Strand Larsen,222,,,,1.0,exact,
fpl-player-223,Jean-Philippe Mateta,223,,,,1.0,exact,
fpl-player-224,Eddie Nketiah,224,,,,1.0,exact,
fpl-player-225,Christantus Uche,225,,,,1.0,exact,
fpl-player-241,Dwight McNeil,241,,,,1.0,exact,
fpl-player-555,Remi Matthews,555,,,,1.0,exact,
fpl-player-577,Takehiro Tomiyasu,577,,,,1.0,exact,
fpl-player-588,Anan Khalaili,588,,,,1.0,exact,
fpl-player-595,Zavier Gozo,595,,,,1.0,exact,
fpl-player-21,Christian Nørgaard,21,,,,1.0,exact,
fpl-player-209,Brennan Johnson,209,,,,1.0,exact,
