as_of,entity_type,source,name,hints,best_candidate,best_score
2026-08-24,team,football_data,Juventus,,Everton,0.4
2026-08-24,team,football_data,Roma,,Nott'm Forest,0.375
2026-08-24,team,football_data,Martigues,,Arsenal,0.375
2026-08-24,team,football_data,Gueugnon,,Everton,0.4
2026-08-24,team,football_data,Chateauroux,,Chelsea,0.444
2026-08-24,team,football_data,Cannes,,Man City,0.429
2026-08-24,team,football_data,Istres,,Spurs,0.545
2026-08-24,team,football_data,Sedan,,Sunderland,0.533
2026-08-24,team,football_data,Boulogne,,Bournemouth,0.526
2026-08-24,team,football_data,Le Mans,,Man City,0.533
2026-08-24,team,football_data,Grenoble,,Arsenal,0.533
2026-08-24,team,football_data,Arles,,Leeds,0.6
2026-08-24,team,football_data,Sochaux,,Chelsea,0.429
2026-08-24,team,football_data,Valenciennes,,Leeds,0.471
2026-08-24,team,football_data,Evian Thonon Gaillard,,Aston Villa,0.438
2026-08-24,team,football_data,Ajaccio GFCO,,Coventry City,0.4
2026-08-24,team,football_data,Nancy,,Sunderland,0.4
2026-08-24,team,football_data,Bastia,,Aston Villa,0.588
2026-08-24,team,football_data,Caen,,Arsenal,0.545
2026-08-24,team,football_data,Guingamp,,Fulham,0.429
2026-08-24,team,football_data,Amiens,,Arsenal,0.462
2026-08-24,team,football_data,Nimes,,Newcastle,0.429
2026-08-24,team,football_data,Dijon,,Brighton,0.462
2026-08-24,team,football_data,Bordeaux,,Bournemouth,0.526
2026-08-24,team,football_data,Troyes,,Leeds,0.364
2026-08-24,team,football_data,Ajaccio,,Coventry City,0.3
2026-08-24,team,football_data,Clermont,,Everton,0.533
2026-08-24,team,football_data,St Etienne,,Newcastle,0.421
2026-08-24,team,football_data,Reims,,Leeds,0.4
2026-08-24,team,football_data,Montpellier,,Liverpool,0.4
2026-08-24,team,football_data,Nantes,,Newcastle,0.533
2026-08-24,team,football_data,Nice,,Newcastle,0.462
2026-08-24,team,football_data,Marseille,,Arsenal,0.625
2026-08-24,team,football_data,Lorient,,Nott'm Forest,0.526
2026-08-24,team,football_data,Lille,,Hull City,0.429
2026-08-24,team,football_data,Brest,,Brentford,0.571
2026-08-24,team,football_data,Paris FC,,Spurs,0.462
2026-08-24,team,football_data,Lyon,,Everton,0.364
2026-08-24,team,football_data,Strasbourg,,Spurs,0.4
2026-08-24,team,football_data,Angers,,Arsenal,0.462
2026-08-24,team,football_data,Auxerre,,Sunderland,0.353
2026-08-24,team,football_data,Le Havre,,Arsenal,0.533
2026-08-24,team,football_data,Lens,,Leeds,0.667
2026-08-24,team,football_data,Rennes,,Leeds,0.545
2026-08-24,team,football_data,Toulouse,,Bournemouth,0.421
2026-08-24,team,football_data,Metz,,Everton,0.364
2026-08-24,team,football_data,Paris SG,,Spurs,0.462
2026-08-24,team,football_data,Monaco,,Aston Villa,0.353
